NDVI,NDRE,GNDVI,Serapan_K
0.5395,0.4148,0.4871,29.88
0.588,0.5173,0.5486,36.38
0.9439,0.7074,0.8972,50.14
0.41,0.3626,0.4069,23.76
0.8682,0.7617,0.7652,51.0
0.3407,0.4742,0.3091,29.5
0.1,0.1,0.1,8.36
0.4308,0.394,0.4004,26.84
0.3461,0.2982,0.3348,21.09
0.3171,0.1895,0.2611,25.71
0.8384,0.6991,0.7945,42.63
0.6149,0.5793,0.5706,34.33
0.4495,0.4803,0.3506,34.66
0.4771,0.3705,0.4697,26.25
0.6979,0.6318,0.6566,33.36
0.6989,0.6163,0.6434,40.49
0.4079,0.3132,0.3202,21.02
0.8341,0.686,0.6989,47.32
0.4445,0.3153,0.4302,24.2
0.95,0.95,0.8927,60.0
0.407,0.3056,0.3669,28.11
0.8198,0.6673,0.6703,45.6
0.3619,0.3205,0.3624,21.63
0.8088,0.5162,0.6353,34.9
0.9425,0.7577,0.7199,46.67
0.2272,0.3582,0.1202,25.37
0.9387,0.7515,0.7429,52.73
0.8403,0.6716,0.7994,39.52
0.436,0.4052,0.4024,32.85
0.333,0.379,0.3834,29.86
0.3568,0.2033,0.3357,20.44
0.8488,0.556,0.7496,46.41
0.5708,0.5041,0.5472,36.48
0.6258,0.524,0.5501,31.96
0.8193,0.6831,0.7837,40.99
0.7141,0.5938,0.6866,46.72
0.298,0.294,0.3009,25.4
0.3747,0.3724,0.3272,23.0
0.2157,0.1732,0.1766,16.43
0.6139,0.4645,0.4829,39.1
0.7302,0.6264,0.7003,44.63
0.9382,0.7017,0.7272,42.65
0.95,0.8648,0.95,60.0
0.6209,0.5239,0.6077,33.54
0.3032,0.1922,0.2971,19.74
0.3914,0.2236,0.3392,27.09
0.5512,0.5209,0.5151,38.26
0.5786,0.5742,0.5477,33.97
0.2244,0.212,0.179,19.79
0.523,0.4583,0.5261,35.46
0.2619,0.2762,0.1414,23.98
0.9031,0.7703,0.8379,47.87
0.4432,0.3358,0.3315,24.73
0.1928,0.1693,0.1681,16.32
0.5926,0.5085,0.5827,32.71
0.3859,0.283,0.3438,20.5
0.3116,0.2631,0.2974,18.2
0.9196,0.6323,0.6937,45.89
0.4017,0.2296,0.3561,19.72
0.4896,0.5125,0.4215,37.05
0.3024,0.2802,0.2541,23.6
0.8354,0.6686,0.7483,50.92
0.8853,0.6632,0.785,50.88
0.927,0.757,0.8738,57.94
0.95,0.7824,0.8675,53.37
0.4502,0.3231,0.4031,23.87
0.731,0.6017,0.69,37.06
0.7781,0.523,0.7367,41.39
0.1638,0.1,0.1409,12.78
0.6795,0.5764,0.6465,41.59
0.5703,0.4846,0.3984,29.26
0.4467,0.4153,0.4279,29.67
0.7484,0.7647,0.6718,45.26
0.4098,0.2776,0.2652,21.01
0.587,0.4848,0.5148,31.56
0.8534,0.7508,0.801,43.73
0.8206,0.7422,0.6733,46.32
0.5693,0.5735,0.5707,41.43
0.6658,0.5893,0.6266,33.72
0.2758,0.2752,0.2249,25.26
0.4259,0.2934,0.4867,23.89
0.2007,0.2245,0.1602,16.22
0.5797,0.4591,0.5317,36.17
0.7551,0.5711,0.6647,40.7
0.71,0.6142,0.6064,37.64
0.6458,0.5408,0.6314,35.09
0.7996,0.6115,0.6483,41.43
0.5937,0.5029,0.5914,34.86
0.8958,0.6896,0.802,46.38
0.5851,0.5978,0.4413,38.38
0.543,0.4936,0.4441,37.1
0.4701,0.2588,0.6152,33.05
0.8027,0.6082,0.649,39.92
0.4686,0.455,0.4818,33.8
0.4386,0.4553,0.5123,33.97
0.5272,0.5662,0.509,31.99
0.4963,0.3857,0.4416,20.89
0.1995,0.1,0.3413,19.69
0.95,0.8409,0.9264,56.81
0.6909,0.6372,0.6611,42.22
0.315,0.3543,0.2488,27.81
0.7472,0.6551,0.6879,43.95
0.6973,0.5722,0.6939,30.83
0.503,0.448,0.4472,25.15
0.1654,0.1509,0.1801,16.21
0.6482,0.5333,0.6188,38.98
0.2766,0.1844,0.2616,17.65
0.8725,0.679,0.8392,43.17
0.8921,0.7738,0.874,52.6
0.95,0.7777,0.9029,55.29
0.5611,0.6212,0.4965,36.49
0.3536,0.3063,0.3238,22.16
0.1296,0.1,0.1538,14.18
0.1977,0.1567,0.1943,18.41
0.7178,0.6265,0.576,37.06
0.324,0.3438,0.2277,25.96
0.537,0.5535,0.532,33.25
0.6334,0.6712,0.6462,38.98
0.4938,0.3958,0.3883,27.89
0.5451,0.4875,0.54,30.96
0.8313,0.6568,0.7968,42.99
0.8508,0.6615,0.8634,50.06
0.4406,0.3109,0.3791,23.29
0.2205,0.1994,0.2017,17.44
0.5742,0.497,0.5499,38.04
0.793,0.6676,0.7541,39.02
0.4816,0.3656,0.3938,26.53
0.2131,0.3652,0.2012,23.53
0.4129,0.345,0.339,30.93
0.588,0.5351,0.5977,39.34
0.3881,0.4293,0.3862,33.31
0.529,0.4613,0.4381,37.08
0.3212,0.302,0.2983,26.98
0.4876,0.3287,0.4289,32.24
0.3789,0.2713,0.3495,29.12
0.3451,0.2343,0.2342,19.8
0.5391,0.4433,0.5025,33.06
0.902,0.8904,0.7361,51.37
0.594,0.6527,0.5454,41.68
0.7644,0.6413,0.8146,48.76
0.3718,0.2563,0.3831,26.26
0.6532,0.6343,0.6671,36.0
0.7956,0.785,0.7227,43.79
0.3807,0.3022,0.3257,28.78
0.95,0.8014,0.7826,54.96
0.3129,0.2715,0.2374,24.7
0.3939,0.3255,0.3803,22.03
0.9181,0.7542,0.787,46.34
0.4698,0.3235,0.4836,24.45
0.5429,0.3709,0.4745,24.7
0.479,0.4404,0.4555,34.45
0.6483,0.5956,0.6303,42.51
0.7159,0.6338,0.5925,35.34
0.8128,0.6294,0.8106,42.33
0.5747,0.4789,0.555,29.28
0.2434,0.1851,0.2513,21.82
0.8201,0.6916,0.8063,44.3
0.3089,0.2697,0.3144,24.83
0.3906,0.2369,0.2692,19.29
0.6506,0.5771,0.6764,42.33
0.3951,0.3629,0.3838,28.41
0.6255,0.3969,0.665,31.64
0.5459,0.4964,0.4976,30.27
0.5122,0.3955,0.4973,34.03
0.8257,0.6959,0.7083,49.1
0.3343,0.2758,0.29,28.14
0.2189,0.2681,0.2954,23.36
0.49,0.4006,0.4795,26.38
0.95,0.8804,0.95,53.98
0.2596,0.2558,0.2285,18.77
0.7116,0.6837,0.6678,35.35
0.5598,0.4928,0.5484,34.02
0.301,0.2053,0.3035,26.29
0.879,0.8507,0.6642,39.21
0.5139,0.5041,0.5042,24.72
0.1878,0.1372,0.2745,22.8
0.6993,0.4887,0.5708,36.36
0.6861,0.4473,0.4619,30.05
0.4557,0.3679,0.3554,32.55
0.95,0.7663,0.8898,50.7
0.7322,0.6305,0.7745,43.04
0.4834,0.6209,0.4293,37.38
0.3929,0.3381,0.3007,22.96
0.5929,0.53,0.4897,38.45
0.8473,0.7277,0.7961,44.81
0.7788,0.6512,0.7424,44.71
0.4322,0.3719,0.4448,24.19
0.9173,0.7528,0.8601,47.52
0.6786,0.5343,0.5489,37.65
0.4197,0.4334,0.3591,24.12
0.8681,0.7647,0.81,47.86
0.8187,0.6921,0.7719,41.26
0.4328,0.3557,0.3621,23.1
0.791,0.658,0.7453,37.17
0.4258,0.3869,0.407,29.81
0.7934,0.7629,0.7289,49.01
0.2837,0.2675,0.2872,18.77
0.95,0.7652,0.7245,51.96
0.6432,0.5797,0.6343,35.62
0.2101,0.1797,0.2061,16.79
0.95,0.8374,0.95,52.97
0.1769,0.1483,0.2114,14.83
0.95,0.6457,0.8222,45.3
0.5009,0.4846,0.4736,35.33
0.4625,0.3774,0.4441,26.48
0.631,0.6395,0.554,38.61
0.3745,0.303,0.3624,23.32
0.6805,0.6416,0.6654,40.79
0.8013,0.7297,0.5942,42.86
0.7527,0.7174,0.6614,44.18
0.5597,0.4882,0.5484,30.98
0.6444,0.531,0.521,31.79
0.7401,0.6532,0.6614,43.93
0.2763,0.1081,0.2953,20.67
0.7632,0.6214,0.755,42.37
0.8337,0.5776,0.6547,38.97
0.8261,0.7201,0.637,47.33
0.5565,0.5388,0.4944,36.25
0.3238,0.3433,0.2121,28.6
0.35,0.2725,0.3344,21.36
0.6886,0.5464,0.668,45.18
0.8646,0.5776,0.6832,41.89
0.3101,0.262,0.2728,21.38
0.535,0.4824,0.4706,30.88
0.1145,0.1,0.1,12.08
0.4349,0.3389,0.3932,23.62
0.7142,0.5568,0.6514,36.03
0.1247,0.1,0.1,13.35
0.8075,0.5874,0.6566,33.87
0.1716,0.137,0.1588,15.17
0.95,0.95,0.9352,60.0
0.1922,0.1438,0.183,14.6
0.5666,0.5196,0.5179,38.34
0.5463,0.3842,0.4889,26.75
0.5766,0.4412,0.5926,38.64
0.95,0.7849,0.9162,57.12
0.4377,0.3565,0.4048,23.11
0.6961,0.6424,0.6991,34.03
0.5307,0.4609,0.5148,29.05
0.8333,0.6791,0.8142,41.33
0.2722,0.2241,0.2749,18.52
0.87,0.7049,0.8478,49.54
0.8512,0.7468,0.7682,50.7
0.8933,0.696,0.868,48.29
0.2223,0.3073,0.2042,22.9
0.2827,0.2854,0.2684,19.57
0.6924,0.6791,0.594,35.42
0.7301,0.6212,0.7601,48.86
0.355,0.2139,0.3557,27.29
0.2518,0.2199,0.2319,18.69
0.79,0.5806,0.7361,45.64
0.7725,0.6749,0.7052,46.75
0.6305,0.616,0.4898,40.53
0.627,0.5338,0.5876,34.72
0.589,0.4057,0.3432,24.88
0.6518,0.5232,0.5466,34.44
0.5862,0.497,0.5563,37.18
0.9254,0.95,0.8065,53.66
0.6097,0.533,0.571,37.56
0.6559,0.5427,0.5811,32.21
0.3022,0.2106,0.221,17.61
0.2808,0.1882,0.2164,16.32
0.1,0.1,0.1,9.66
0.95,0.7048,0.7701,47.54
0.4981,0.3463,0.44,26.16
0.3174,0.3021,0.2914,21.2
0.4683,0.3296,0.463,26.51
0.95,0.8034,0.8307,51.79
0.371,0.2896,0.3404,22.08
0.298,0.2526,0.2972,18.32
0.7467,0.6356,0.6018,43.8
0.4633,0.3751,0.4531,25.62
0.6363,0.4868,0.6891,36.09
0.6494,0.5783,0.608,40.04
0.6725,0.5149,0.5271,33.31
0.6654,0.652,0.4979,39.83
0.747,0.6535,0.6149,35.11
0.551,0.4498,0.5445,34.44
0.4831,0.3903,0.4682,28.59
0.6584,0.6461,0.6389,43.5
0.5049,0.4378,0.4488,28.19
0.4441,0.303,0.3695,32.99
0.7984,0.7223,0.6635,40.08
0.9062,0.8177,0.7248,50.17
0.8744,0.61,0.7633,47.99
0.6462,0.6305,0.531,36.9
