NDVI,NDRE,GNDVI
0.5051,0.4496,0.5314
0.5044,0.3684,0.545
0.8401,0.6729,0.8727
0.7056,0.6288,0.7116
0.7035,0.6849,0.7249
0.6601,0.5901,0.7381
0.6087,0.5291,0.5481
0.5293,0.4889,0.5099
0.5541,0.4326,0.5629
0.7164,0.5673,0.7078
0.7093,0.6036,0.7623
0.7544,0.5842,0.7308
0.6976,0.6501,0.7806
0.5933,0.581,0.7012
0.6763,0.5747,0.7201
0.7515,0.6966,0.7644
0.6901,0.6913,0.7617
0.6281,0.5766,0.6481
0.6321,0.6095,0.6295
0.6285,0.5482,0.662
0.7184,0.6788,0.6913
0.6329,0.5488,0.6349
0.7415,0.6014,0.748
0.6507,0.6122,0.6794
0.7517,0.6645,0.7257
0.6019,0.5783,0.5949
0.7314,0.5907,0.7475
0.6068,0.5545,0.6561
0.6216,0.6038,0.6528
0.6315,0.5284,0.7285
0.7546,0.7018,0.7562
0.6767,0.6858,0.7459
0.6387,0.5257,0.706
0.7113,0.6349,0.754
0.724,0.7345,0.7659
0.8319,0.6294,0.884
0.6772,0.6161,0.6735
0.7017,0.6529,0.7752
0.5754,0.5116,0.6072
0.6514,0.7053,0.6358
0.6469,0.597,0.7269
0.6497,0.6504,0.6778
0.6969,0.6576,0.7339
0.4333,0.4863,0.3546
0.5629,0.5109,0.5877
0.6405,0.4841,0.7233
0.6856,0.6313,0.6948
0.7056,0.5134,0.6894
0.5802,0.4941,0.6274
0.6286,0.5249,0.5903
0.6878,0.577,0.7463
0.6692,0.6612,0.6945
0.6277,0.5507,0.6624
0.6741,0.7126,0.8024
0.5432,0.4807,0.5803
0.5442,0.3571,0.5179
0.7307,0.599,0.7718
0.6395,0.6127,0.7012
0.813,0.6195,0.7728
0.6301,0.5327,0.6611
0.7635,0.7098,0.7324
0.5668,0.4845,0.5961
0.54,0.4487,0.6288
0.661,0.654,0.6767
0.6358,0.545,0.6707
0.7122,0.5572,0.759
0.7509,0.7007,0.8021
0.5486,0.5571,0.582
0.5508,0.5015,0.498
0.5788,0.4782,0.6151
0.7392,0.5881,0.7507
0.7097,0.5845,0.6995
0.6008,0.455,0.6388
0.7037,0.5834,0.7445
0.7554,0.6873,0.7223
0.7365,0.6834,0.7573
