NDVI,NDRE,GNDVI,SAVI,EVI,OSAVI,MSAVI,GCI,RECI,NDWI
0.5652,0.1567,0.4619,0.5663,0.5934,0.5657,0.5662,1.7166,0.3717,-0.4619
0.9082,0.2414,0.47,0.8121,5.561,0.8658,0.8734,1.7735,0.6364,-0.47
0.3553,0.3554,0.265,0.3285,0.546,0.3437,0.3233,0.7213,1.1025,-0.265
0.4515,-0.2751,0.5485,0.3519,0.5278,0.4042,0.3373,2.4297,-0.4315,-0.5485
0.6862,0.1815,0.4776,0.4871,0.5764,0.5869,0.4842,1.8284,0.4435,-0.4776
0.272,0.0172,0.2737,0.1937,0.1613,0.2331,0.1758,0.7536,0.0351,-0.2737
0.3789,0.1054,0.6898,0.3622,0.5203,0.3718,0.3595,4.4472,0.2357,-0.6898
0.3483,-0.1462,-0.1431,0.2424,0.4336,0.295,0.2213,-0.2504,-0.2551,0.1431
0.9009,0.5698,0.3435,0.8491,1.192,0.8787,0.8841,1.0465,2.6491,-0.3435
0.5717,0.2833,-0.0625,0.4285,0.5411,0.5022,0.4176,-0.1177,0.7906,0.0625
0.5579,0.2542,0.2716,0.4675,0.7588,0.5166,0.4639,0.7459,0.6815,-0.2716
0.5458,-0.3308,-0.1329,0.3754,0.6745,0.4595,0.3559,-0.2347,-0.4971,0.1329
0.7826,-0.0341,0.6918,0.6737,0.9516,0.7336,0.7047,4.4894,-0.066,-0.6918
0.5244,0.0838,0.4812,0.5109,0.5962,0.5187,0.5111,1.8547,0.183,-0.4812
0.8364,0.2162,0.5202,0.7867,2.885,0.8151,0.8121,2.1686,0.5516,-0.5202
0.2625,0.0318,0.231,0.2434,0.1963,0.2543,0.2383,0.6008,0.0657,-0.231
0.5625,0.182,0.429,0.5396,0.7946,0.5528,0.5408,1.5028,0.4448,-0.429
0.2604,0.0559,0.0908,0.2328,0.3465,0.2482,0.2254,0.1998,0.1185,-0.0908
0.4692,0.3629,0.5673,0.3769,1.2095,0.426,0.365,2.6223,1.139,-0.5673
0.8362,-0.0757,0.65,0.6769,0.9081,0.762,0.726,3.7145,-0.1408,-0.65
0.7981,0.0214,0.7242,0.656,0.7626,0.7324,0.6922,5.2504,0.0438,-0.7242
0.261,-0.2275,-0.1316,0.1866,1.091,0.224,0.1691,-0.2326,-0.3707,0.1316
0.1301,0.199,0.4616,0.1105,0.088,0.1212,0.104,1.7147,0.497,-0.4616
0.8302,0.4615,0.7102,0.7299,6.1915,0.7855,0.771,4.9011,1.7137,-0.7102
0.7702,0.3483,0.2991,0.6777,2.3634,0.729,0.7044,0.8533,1.0688,-0.2991
0.4075,0.2216,0.7842,0.4243,0.5384,0.4143,0.426,7.2697,0.5692,-0.7842
0.3398,0.2535,0.5454,0.3282,0.5043,0.3349,0.3259,2.3991,0.6793,-0.5454
0.0264,-0.1226,0.0832,0.0218,0.0229,0.0243,0.0202,0.1816,-0.2184,-0.0832
0.7795,0.4065,0.6884,0.6234,0.7415,0.7063,0.6532,4.4176,1.3699,-0.6884
0.3547,-0.0691,0.279,0.3231,0.3347,0.3409,0.3169,0.7739,-0.1292,-0.279
0.8148,0.5698,0.3774,0.6963,0.8373,0.7612,0.7363,1.2122,2.6492,-0.3774
0.5925,0.0954,0.4776,0.5584,0.6172,0.5779,0.5611,1.8288,0.2108,-0.4776
0.1941,-0.1072,0.0901,0.1825,0.1456,0.1891,0.1788,0.1981,-0.1937,-0.0901
0.536,0.118,0.4982,0.5216,1.435,0.53,0.522,1.9854,0.2676,-0.4982
0.2627,0.1817,-0.1149,0.1924,0.1656,0.2282,0.1757,-0.2061,0.4441,0.1149
0.2423,-0.1553,0.4582,0.1706,0.6577,0.2064,0.1536,1.6913,-0.2688,-0.4582
0.6196,0.3397,0.7158,0.5827,0.7547,0.6038,0.587,5.038,1.029,-0.7158
0.3551,0.5468,0.5357,0.3588,0.4946,0.3566,0.3594,2.3072,2.4129,-0.5357
0.6256,-0.2802,0.4661,0.447,-2.6815,0.5369,0.437,1.7464,-0.4378,-0.4661
0.702,0.0823,0.3607,0.6603,3.4239,0.6841,0.6705,1.1286,0.1795,-0.3607
0.6946,-0.2007,-0.1009,0.4341,0.7802,0.5565,0.4179,-0.1833,-0.3343,0.1009
0.5525,0.0813,0.5515,0.5605,0.9972,0.5558,0.5598,2.4593,0.1771,-0.5515
0.5504,-0.2481,0.2905,0.3993,1.1119,0.4759,0.3842,0.8189,-0.3976,-0.2905
0.1957,-0.0504,-0.0577,0.163,0.2064,0.1807,0.1533,-0.1091,-0.0959,0.0577
0.3629,0.436,0.1654,0.3348,0.2654,0.3507,0.3295,0.3963,1.5464,-0.1654
0.3496,-0.0026,0.1135,0.277,0.4083,0.3154,0.2621,0.256,-0.0051,-0.1135
0.4823,0.3524,0.3366,0.477,0.455,0.4801,0.4769,1.0146,1.0883,-0.3366
0.8314,0.4756,0.329,0.7177,-6.649,0.7802,0.7617,0.9808,1.8137,-0.329
0.8238,0.1252,0.7954,0.7683,1.5607,0.7999,0.7945,7.7765,0.2862,-0.7954
0.8541,0.0761,0.6552,0.7589,2.9264,0.8119,0.8046,3.8002,0.1648,-0.6552
