NDVI,NDRE,GNDVI,Serapan_K
0.6717,0.5113,0.5085,26.8167
0.5392,0.5118,0.6478,23.3275
0.6123,0.4441,0.5124,21.5489
0.8224,0.3236,0.7291,25.7364
0.4024,0.4791,0.7235,21.9593
0.4608,0.5438,0.3351,19.6655
0.7354,0.4501,0.4509,24.6743
0.8129,0.593,0.7898,31.0471
0.4684,0.5906,0.3178,23.7038
0.6875,0.2667,0.5462,22.4993
0.8457,0.2093,0.7762,21.2285
0.5046,0.2643,0.7053,19.3856
0.4927,0.5694,0.4472,23.0036
0.4542,0.5814,0.5981,26.2473
0.5098,0.2844,0.5156,17.5512
0.8893,0.3442,0.5962,25.7735
0.8058,0.4198,0.7469,29.6726
0.486,0.3087,0.577,20.9743
0.8081,0.3842,0.5464,26.3241
0.537,0.4785,0.4596,20.2953
0.6159,0.4001,0.4317,23.8409
0.87,0.4864,0.5711,28.2202
0.8088,0.4104,0.3411,23.1871
0.5681,0.2006,0.6178,19.4007
0.4877,0.3579,0.6982,23.6383
0.5864,0.3969,0.7774,24.8696
0.4028,0.3612,0.6423,19.6323
0.5262,0.3417,0.5441,21.4163
0.7978,0.4002,0.5427,28.8485
0.4076,0.3781,0.7833,20.0999
0.6994,0.2362,0.4057,19.4393
0.7019,0.3094,0.5058,25.5844
0.4526,0.5774,0.7948,26.8901
0.591,0.2106,0.3142,13.3917
0.4182,0.216,0.6507,19.0164
0.8452,0.3133,0.3126,21.4007
0.8905,0.4329,0.4604,24.7146
0.43,0.5964,0.3368,22.6976
0.8453,0.5971,0.3304,27.477
0.6885,0.5972,0.3557,25.2253
0.7712,0.244,0.3846,19.4904
0.7151,0.4658,0.6138,27.4153
0.6909,0.4096,0.5192,23.7855
0.4102,0.2693,0.7155,20.9693
0.505,0.5772,0.4199,23.8723
0.6723,0.2967,0.395,19.2493
0.7846,0.5996,0.6559,31.8828
0.5253,0.4331,0.7291,25.4816
0.5429,0.2733,0.5795,16.2064
0.8262,0.3547,0.6522,27.1486
0.8875,0.2759,0.6026,24.4277
0.8424,0.3643,0.5796,26.4393
0.5798,0.4379,0.7302,25.4577
0.6994,0.4866,0.7599,31.8864
0.5774,0.3948,0.7248,26.8328
0.5701,0.3238,0.4272,20.4216
0.489,0.431,0.7388,22.4584
0.5188,0.3767,0.5176,19.2719
0.4224,0.3439,0.6647,19.596
0.6527,0.3285,0.5063,22.1852
0.5881,0.2833,0.3954,18.0416
0.6964,0.3805,0.653,23.3021
0.715,0.3967,0.4203,25.2014
0.4713,0.5596,0.7257,23.8797
0.8669,0.4917,0.7121,31.0963
0.8732,0.508,0.5626,27.0855
0.7011,0.3502,0.4932,22.717
0.5939,0.3375,0.5954,20.299
0.5816,0.462,0.3688,21.8282
0.5022,0.4844,0.7041,22.825
0.5384,0.2454,0.7829,17.9915
0.5233,0.2532,0.6899,20.0857
0.4868,0.3824,0.4197,18.3243
0.8833,0.2639,0.7336,25.7848
0.8785,0.5847,0.7041,36.6714
0.699,0.535,0.3318,29.5054
0.7657,0.4081,0.4156,26.2072
0.5702,0.2873,0.5948,21.7668
0.446,0.254,0.3687,18.224
0.6317,0.5916,0.6392,27.1968
0.6543,0.4828,0.7961,28.1807
0.4442,0.544,0.4429,20.3553
0.664,0.3549,0.6805,24.7276
0.8961,0.3003,0.3233,22.8103
0.5975,0.3198,0.4663,20.5966
0.5678,0.5428,0.7723,29.097
0.8027,0.3892,0.6183,28.515
0.7772,0.4653,0.6009,26.5036
0.5565,0.5223,0.7641,26.6201
0.717,0.3012,0.3908,23.0091
0.6702,0.2318,0.3089,17.6169
0.5484,0.4931,0.395,23.5435
0.4554,0.5846,0.5609,25.463
0.5563,0.5815,0.5479,25.5873
0.6285,0.3962,0.7002,22.3669
0.7295,0.4529,0.7297,27.6543
0.5271,0.4932,0.4065,23.6307
0.7206,0.561,0.5186,26.5166
0.5001,0.2649,0.5108,16.202
0.7288,0.3624,0.3274,21.8256
