NDVI,NDRE,GNDVI,SAVI,EVI,OSAVI,MSAVI,GCI,RECI,NDWI,Serapan_K
0.7714,-0.0722,0.3833,0.6164,1.5576,0.6987,0.6439,1.2428,-0.1347,-0.3833,65.2759
0.168,-0.1662,0.1332,0.1462,0.1242,0.1582,0.1392,0.3073,-0.2851,-0.1332,26.6945
0.5875,0.5168,0.5476,0.5836,0.7274,0.5859,0.584,2.4205,2.1388,-0.5476,103.758
0.3953,0.3435,0.1692,0.3501,0.6096,0.3753,0.3427,0.4073,1.0465,-0.1692,62.7458
0.5979,0.0474,0.3006,0.5582,0.5425,0.5808,0.5614,0.8596,0.0996,-0.3006,56.6507
0.4756,0.4931,0.6803,0.4516,0.421,0.4654,0.4501,4.255,1.9452,-0.6803,101.9374
0.7666,0.1401,0.582,0.7131,1.7163,0.7435,0.7318,2.7846,0.3259,-0.582,85.7851
0.5686,0.3322,0.3234,0.5652,0.9777,0.5671,0.5655,0.9558,0.9947,-0.3234,76.9879
0.4717,0.2578,0.6571,0.4192,0.4068,0.4484,0.4142,3.8325,0.6949,-0.6571,75.7515
0.1017,-0.1646,0.1764,0.0858,0.0884,0.0944,0.0803,0.4285,-0.2827,-0.1764,25.9534
0.4014,0.2,0.2039,0.3762,0.6114,0.3906,0.3725,0.5124,0.5001,-0.2039,55.825
0.6019,0.3903,0.3943,0.5991,0.6511,0.6007,0.5995,1.3017,1.2802,-0.3943,80.0902
0.5187,0.3851,0.466,0.4486,0.478,0.4872,0.4443,1.7454,1.2526,-0.466,74.6092
0.5027,0.1459,0.4354,0.4929,0.4598,0.4986,0.4928,1.5425,0.3416,-0.4354,63.1666
0.3441,0.1351,0.3867,0.3132,0.2846,0.3306,0.307,1.2612,0.3123,-0.3867,52.6886
0.429,0.1676,0.4349,0.4271,0.6815,0.4282,0.4269,1.5395,0.4026,-0.4349,62.3568
0.2356,0.087,0.0596,0.2026,0.2904,0.2207,0.1934,0.1268,0.1905,-0.0596,38.6244
0.7958,0.2431,0.3101,0.6322,0.9199,0.7188,0.6664,0.8989,0.6423,-0.3101,78.6166
0.4647,0.1481,0.4572,0.4497,0.6921,0.4584,0.4487,1.6849,0.3476,-0.4572,60.781
0.5484,0.0692,0.5192,0.506,0.572,0.53,0.5063,2.1599,0.1486,-0.5192,64.0745
0.4323,0.1468,0.5854,0.4257,0.4511,0.4295,0.4251,2.8242,0.3442,-0.5854,65.8747
0.6507,0.5302,0.4952,0.6378,1.5635,0.6453,0.6404,1.9622,2.257,-0.4952,102.817
0.4498,0.2003,0.593,0.3872,0.7589,0.4216,0.3793,2.9141,0.5008,-0.593,71.9481
0.4595,0.5426,0.4402,0.4633,0.4653,0.4611,0.4634,1.5727,2.373,-0.4402,90.6206
0.3626,-0.1938,0.0879,0.2952,0.283,0.3313,0.2819,0.1927,-0.3247,-0.0879,35.0358
0.5482,0.1004,-0.0764,0.3794,0.6002,0.463,0.3605,-0.1419,0.2233,0.0764,51.118
0.3116,0.0927,0.1577,0.2624,0.2115,0.2892,0.2511,0.3744,0.2044,-0.1577,44.4918
0.8562,0.3352,0.4736,0.7679,1.266,0.8173,0.8119,1.7997,1.0086,-0.4736,93.9324
0.5418,0.2455,0.3304,0.4541,1.0859,0.5017,0.4493,0.9869,0.6506,-0.3304,67.4837
0.4017,0.3605,0.2047,0.3782,0.3128,0.3916,0.3748,0.5147,1.1277,-0.2047,66.8054
0.3689,-0.0748,0.4406,0.3052,0.4323,0.3395,0.2929,1.5755,-0.1391,-0.4406,49.1802
0.7103,-0.0709,0.3982,0.5843,1.4073,0.6521,0.5994,1.3234,-0.1324,-0.3982,66.1008
0.4931,-0.0855,-0.0085,0.3781,0.39,0.438,0.3639,-0.0168,-0.1575,0.0085,43.24
0.2564,0.2764,0.6353,0.2338,0.2191,0.2465,0.2276,3.4835,0.7638,-0.6353,65.9345
0.8541,0.1708,0.4044,0.7844,1.0231,0.8238,0.8209,1.3582,0.4119,-0.4044,79.5211
0.4971,0.2326,0.7426,0.4925,0.8141,0.4952,0.4924,5.7688,0.6061,-0.7426,85.7683
0.7796,0.5493,0.5938,0.7412,3.4025,0.7633,0.7566,2.9235,2.4378,-0.5938,133.7063
0.6589,0.1385,0.6094,0.5416,0.6022,0.6047,0.5481,3.1199,0.3216,-0.6094,73.9042
0.5755,0.3754,0.7399,0.5764,1.0631,0.5759,0.5763,5.6897,1.2022,-0.7399,106.6647
0.7257,0.1713,0.6045,0.6058,1.393,0.6708,0.6245,3.0571,0.4133,-0.6045,83.019
0.6713,0.4656,0.6609,0.6431,1.3228,0.6594,0.6491,3.8982,1.7423,-0.6609,110.6372
0.5382,0.0889,0.2726,0.4581,0.8076,0.5019,0.4541,0.7497,0.1952,-0.2726,58.972
0.3634,-0.0111,0.3303,0.3131,0.4084,0.3407,0.3033,0.9864,-0.022,-0.3303,43.2041
0.5547,0.0787,0.2802,0.5118,0.4853,0.5361,0.5125,0.7787,0.1709,-0.2802,55.1967
0.5865,0.1324,0.584,0.5478,0.6085,0.5698,0.5503,2.8077,0.3052,-0.584,71.7155
0.5752,0.5144,0.6208,0.5438,0.7829,0.5618,0.5456,3.2746,2.1185,-0.6208,106.9513
0.4107,0.0752,0.3152,0.3885,0.5538,0.4012,0.3856,0.9206,0.1626,-0.3152,51.963
0.4877,0.2248,0.3421,0.4845,0.4811,0.4864,0.4844,1.0398,0.5799,-0.3421,63.3848
0.7558,0.1715,0.4002,0.6659,1.0018,0.7158,0.6897,1.3344,0.4139,-0.4002,79.9573
0.1866,0.3696,0.166,0.1664,0.2177,0.1777,0.1601,0.398,1.1727,-0.166,50.051
0.8318,0.5607,0.4429,0.7664,5.6437,0.8035,0.7975,1.5902,2.553,-0.4429,142.0641
