NDVI,NDRE,GNDVI,Serapan_K
0.5395,0.4148,0.4871,29.88
0.588,0.5173,0.5486,36.38
0.9439,0.7074,0.8972,50.14
0.41,0.3626,0.4069,23.76
0.8682,0.7617,0.7652,51.0
0.3407,0.4742,0.3091,29.5
0.1,0.1,0.1,8.36
0.4308,0.394,0.4004,26.84
0.3461,0.2982,0.3348,21.09
0.3171,0.1895,0.2611,25.71
0.8384,0.6991,0.7945,42.63
0.6149,0.5793,0.5706,34.33
0.4495,0.4803,0.3506,34.66
0.4771,0.3705,0.4697,26.25
0.6979,0.6318,0.6566,33.36
0.6989,0.6163,0.6434,40.49
0.4079,0.3132,0.3202,21.02
0.8341,0.686,0.6989,47.32
0.4445,0.3153,0.4302,24.2
0.95,0.95,0.8927,60.0
0.407,0.3056,0.3669,28.11
0.8198,0.6673,0.6703,45.6
0.3619,0.3205,0.3624,21.63
0.8088,0.5162,0.6353,34.9
0.9425,0.7577,0.7199,46.67
0.2272,0.3582,0.1202,25.37
0.9387,0.7515,0.7429,52.73
0.8403,0.6716,0.7994,39.52
0.436,0.4052,0.4024,32.85
0.333,0.379,0.3834,29.86
0.3568,0.2033,0.3357,20.44
0.8488,0.556,0.7496,46.41
0.5708,0.5041,0.5472,36.48
0.6258,0.524,0.5501,31.96
0.8193,0.6831,0.7837,40.99
0.7141,0.5938,0.6866,46.72
0.298,0.294,0.3009,25.4
0.3747,0.3724,0.3272,23.0
0.2157,0.1732,0.1766,16.43
0.6139,0.4645,0.4829,39.1
0.7302,0.6264,0.7003,44.63
0.9382,0.7017,0.7272,42.65
0.95,0.8648,0.95,60.0
0.6209,0.5239,0.6077,33.54
0.3032,0.1922,0.2971,19.74
0.3914,0.2236,0.3392,27.09
0.5512,0.5209,0.5151,38.26
0.5786,0.5742,0.5477,33.97
0.2244,0.212,0.179,19.79
0.523,0.4583,0.5261,35.46
0.2619,0.2762,0.1414,23.98
0.9031,0.7703,0.8379,47.87
0.4432,0.3358,0.3315,24.73
0.1928,0.1693,0.1681,16.32
0.5926,0.5085,0.5827,32.71
0.3859,0.283,0.3438,20.5
0.3116,0.2631,0.2974,18.2
0.9196,0.6323,0.6937,45.89
0.4017,0.2296,0.3561,19.72
0.4896,0.5125,0.4215,37.05
0.3024,0.2802,0.2541,23.6
0.8354,0.6686,0.7483,50.92
0.8853,0.6632,0.785,50.88
0.927,0.757,0.8738,57.94
0.95,0.7824,0.8675,53.37
0.4502,0.3231,0.4031,23.87
0.731,0.6017,0.69,37.06
0.7781,0.523,0.7367,41.39
0.1638,0.1,0.1409,12.78
0.6795,0.5764,0.6465,41.59
0.5703,0.4846,0.3984,29.26
0.4467,0.4153,0.4279,29.67
0.7484,0.7647,0.6718,45.26
0.4098,0.2776,0.2652,21.01
0.587,0.4848,0.5148,31.56
0.8534,0.7508,0.801,43.73
0.8206,0.7422,0.6733,46.32
0.5693,0.5735,0.5707,41.43
0.6658,0.5893,0.6266,33.72
0.2758,0.2752,0.2249,25.26
0.4259,0.2934,0.4867,23.89
0.2007,0.2245,0.1602,16.22
0.5797,0.4591,0.5317,36.17
0.7551,0.5711,0.6647,40.7
0.71,0.6142,0.6064,37.64
0.6458,0.5408,0.6314,35.09
0.7996,0.6115,0.6483,41.43
0.5937,0.5029,0.5914,34.86
0.8958,0.6896,0.802,46.38
0.5851,0.5978,0.4413,38.38
0.543,0.4936,0.4441,37.1
0.4701,0.2588,0.6152,33.05
0.8027,0.6082,0.649,39.92
0.4686,0.455,0.4818,33.8
0.4386,0.4553,0.5123,33.97
0.5272,0.5662,0.509,31.99
0.4963,0.3857,0.4416,20.89
0.1995,0.1,0.3413,19.69
0.95,0.8409,0.9264,56.81
